"Designator","Search","LCSC","MPN","Package","Lib","Stock","AssemblyFlag","Type","Desc"
"F2/F3","1206 resettable fuse 1A","C20799","SMD1206P050TF","1206","expand","13784","False","Resettable Fuses","-40???~+85??? 0.8mm 1.9mm 100ms 150m?? 1A 3.6mm 35A 400mA 600mW 6V 700m?? 1206 Resettable Fuses ROHS"
"F2/F3","1206 resettable fuse 1A","C43379","SMD1206P050TF/13.2","1206","expand","9042","False","Resettable Fuses","-40???~+85??? 0.8mm 1.9mm 100ms 13.2V 150m?? 1A 3.6mm 35A 500mA 600mW 700m?? 1206 Resettable Fuses ROHS"
"F2/F3","1206 resettable fuse 1A","C66453","nSMD100","1206","expand","1936","False","Resettable Fuses","-40???~+85??? 1.8A 100A 1A 270m?? 300ms 55m?? 600mW 6V 1206 Resettable Fuses ROHS"
"F2/F3","1206 resettable fuse 1A","C20800","SMD1206P100TF","1206","expand","793","False","Resettable Fuses","-40???~+85??? 0.8mm 1.8A 1.9mm 1A 270m?? 3.6mm 300ms 35A 50m?? 600mW 6V 1206 Resettable Fuses ROHS"
"F2/F3","SMD1206P","C20797","SMD1206P005TF","1206","expand","71410","False","Resettable Fuses","-40???~+85??? 1.2mm 1.5s 1.6?? 1.9mm 10A 150mA 15?? 3.6mm 400mW 50mA 60V 1206 Resettable Fuses ROHS"
"F2/F3","SMD1206P","C20799","SMD1206P050TF","1206","expand","13784","False","Resettable Fuses","-40???~+85??? 0.8mm 1.9mm 100ms 150m?? 1A 3.6mm 35A 400mA 600mW 6V 700m?? 1206 Resettable Fuses ROHS"
"F2/F3","SMD1206P","C20798","SMD1206P025TF","1206","expand","13522","False","Resettable Fuses","-40???~+85??? 1.9mm 10A 16V 1mm 2.5?? 250mA 3.6mm 350m?? 500mA 600mW 80ms 1206 Resettable Fuses ROHS"
"F2/F3","SMD1206P","C20800","SMD1206P100TF","1206","expand","793","False","Resettable Fuses","-40???~+85??? 0.8mm 1.8A 1.9mm 1A 270m?? 3.6mm 300ms 35A 50m?? 600mW 6V 1206 Resettable Fuses ROHS"
"J1","TYPE-C 6P horizontal","C9900163797","Type-C","SMD-6P","expand","0","False","SMT","SMD-6P SMT ROHS"
"J1","TYPE-C 6P horizontal","C9900256273","TYPE-C","SMD-6P-P1.1","expand","0","False","SMT","SMD-6P-P1.1 SMT ROHS"
"J1","TYPE-C 6P horizontal","C9900014403","type-c","6P","expand","0","False","SMT","6P SMT ROHS"
"J1","TYPE-C 6P horizontal","C9900112732","type-C","SMD-6P","expand","0","False","New Arrivals","SMD-6P New Arrivals ROHS"
"J1","USB4125","C3151650","USB4125-GF-A","SMD","expand","1810","False","USB Connectors","-30???~+85??? 1 3A 48V 6P Black Female Surface Mount, Right Angle Type-C SMD USB Connectors ROHS"
"J1","USB4125","C5246813","USB4125-GF-A-0190","SMD","expand","263","False","USB Connectors","-30???~+85??? 1 20,000 cycles 3A 48V 6P Black Female Surface Mount, Right Angle Type-C SMD USB Connectors ROHS"
"J1","USB-C 6 pin receptacle","C9900111751","USB-C","SMD","expand","0","False","New Arrivals","SMD New Arrivals ROHS"
"J1","USB-C 6 pin receptacle","C9900191069","USB-C","SMD-16P","expand","0","False","SMT","SMD-16P SMT ROHS"
"J1","USB-C 6 pin receptacle","C9900024948","USB-C","TPPE_C_USBA","expand","0","False","SMT","TPPE_C_USBA SMT ROHS"
"J1","USB-C 6 pin receptacle","C9900001460","USB-C","USB-C","expand","0","False","SMT","SMD SMT ROHS"
"J4","BM05B-GHS-TBT","C189891","BM05B-GHS-TBT(LF)(SN)(N)","SMD,P=1.25mm","expand","9028","False","Wire To Board Connector","-25???~+85??? 1 1.25mm 1A 1x5P 4.05mm 4.32mm 5 50V 5P 9.5mm Auxiliary Solder Pin GH PA9T Phosphor bronze Surface Mount,Vertical Tin UL94V-0 White SMD,P=1.25mm Wire To Board Connector ROHS"
"J4","BM05B-GHS-TBT","C9900169632","BM05B-GHS-TBT","SMD,P=1.25mm","expand","0","False","SMT","SMD,P=1.25mm SMT ROHS"
"J4","JST GH 5P","C189896","SM05B-GHS-TB(LF)(SN)","SMD,P=1.25mm,Surface Mount???Right Angle","expand","47985","False","Wire To Board Connector","-25???~+85??? 1 1.25mm 1A 1x5P 4.13mm 4.25mm 5 50V 5P 9.5mm Auxiliary Solder Pin GH PA9T Phosphor bronze Surface Mount, Right Angle Tin UL94V-0 White SMD,P=1.25mm,?????? Wire To Board Connector ROHS"
